 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.142672 0.096277 1000000
3.143828 0.111235 2000000
3.143828 0.107253 3000000
3.142224 0.118882 4000000
3.142224 0.129377 5000000
3.138424 0.118701 6000000
3.138424 0.120678 7000000
3.141984 0.122998 8000000
3.141984 0.148563 9000000
3.138536 0.171515 10000000
3.137148 0.141281 11000000
3.137148 0.171350 12000000
3.144016 0.098861 1000000
3.144584 0.055860 1000000
3.138039 0.034639 999999
3.137616 0.029609 1000000
3.136740 0.023756 1000000
3.144877 0.019960 999996
3.146279 0.018692 999999
3.136352 0.015114 1000000
3.134235 0.015035 999999
3.137920 0.022758 1000000
3.135795 0.021159 999999
3.142477 0.020448 999996
