 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.142796 0.113083 1000000
3.142796 0.114985 2000000
3.140696 0.109181 3000000
3.140696 0.117022 4000000
3.140796 0.141445 5000000
3.140796 0.133053 6000000
3.143880 0.137791 7000000
3.143880 0.143735 8000000
3.139264 0.132790 9000000
3.143188 0.146996 10000000
3.143188 0.129673 11000000
3.141804 0.134487 12000000
3.141804 0.114864 1000000
3.141720 0.057122 1000000
3.143103 0.037910 999999
3.142896 0.028315 1000000
3.141920 0.022731 1000000
3.149245 0.019465 999996
3.149779 0.052433 999999
3.139968 0.016333 1000000
3.138951 0.014794 999999
3.143680 0.012973 1000000
3.142967 0.011985 999999
3.146317 0.020305 999996
