 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141591 1407.802422 10000000000
3.141590 1403.027061 20000000000
3.141629 1099.505742 30000000000
3.141607 1043.281728 40000000000
3.141607 1141.452650 50000000000
3.141594 1268.528261 60000000000
3.141586 1150.372750 70000000000
3.141592 1206.820738 80000000000
3.141582 1212.677815 90000000000
3.141592 1342.434899 100000000000
3.141596 1307.267065 110000000000
3.141599 1408.368787 120000000000
3.141590 1421.025243 10000000000
3.141605 701.211574 10000000000
3.141642 378.917376 9999999999
3.141560 284.604374 10000000000
3.141515 227.623029 10000000000
3.141648 190.270267 9999999996
3.141579 170.154558 9999999996
3.141674 150.244657 10000000000
3.141611 138.760147 9999999999
3.141581 144.214897 10000000000
3.141597 130.442118 9999999999
3.141657 132.030990 9999999996
