 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141527 103.768012 1000000000
3.141582 125.956798 2000000000
3.141603 103.803313 3000000000
3.141532 103.871957 4000000000
3.141611 103.804904 5000000000
3.141587 104.310028 6000000000
3.141583 104.121180 7000000000
3.141621 122.429168 8000000000
3.141571 122.806510 9000000000
3.141598 125.207913 10000000000
3.141617 125.876897 11000000000
3.141610 128.504106 12000000000
3.141530 103.643276 1000000000
3.141638 63.163749 1000000000
3.141592 35.741039 999999999
3.141832 29.188566 1000000000
3.141838 21.472988 1000000000
3.141647 18.006360 999999996
3.141899 15.335863 999999994
3.141837 15.753598 1000000000
3.141700 14.070486 999999999
3.141637 12.713833 1000000000
3.141605 11.530672 999999990
3.141744 11.471523 999999996
